ChEMBL ID;Receptor;Species;Purchasable;No. records;Assay type;Min.;Average;Max.;Unit;Mol. weight;Rot. Bonds;H don;H acc;LogP;Smiles
CHEMBL50557;ccr3_human;Human;No;1;Funct;6.70;6.70;6.70;p(-log);394;7;2;4;3.8;C1CN(CCC1CC2=CC=CC=C2F)CCCNC(=O)NC3=CC=CC(=C3)C#N
CHEMBL396101;ccr2_human;Human;No;1;Funct;7.75;7.75;7.75;p(-log);655;10;2;11;7.0;CC(C)(C)C(=O)NC1=NC(=CS1)C(CCN2CCC(CC2)C3=CC=CC=C3)C(=O)NCC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F
CHEMBL487070;ccr2_human;Human;No;1;Funct;7.77;7.77;7.77;p(-log);527;6;2;8;1.9;C1CN(CCC1C2=CNC3=C2C=CC=N3)C(C4CCN(CC4)C(=O)C=CC5=CC(=C(C(=C5)F)F)F)C(=O)O
CHEMBL3263318;ccr5_human;Human;No;1;Funct;4.57;4.57;4.57;p(-log);447;7;2;7;2.5;CC(C)OC1=C(C=C(C=C1)N2CCN(CC2)CC3=CC=C(C=C3)N)NC(=O)C4=NC=CN=C4
CHEMBL3104689;ccr5_human;Human;Yes;1;Funct;6.71;6.71;6.71;p(-log);571;10;1;5;4.1;CC(=O)N1CCC(CC1)C(=O)N(CCCN2CCC(CC2)C(=O)NCCC3=CC=C(C=C3)F)C4=CC(=CC=C4)Cl
CHEMBL385287;ccr8_human;Human;No;1;Funct;5.49;5.49;5.49;p(-log);417;6;2;5;3.4;C1=CC=C(C=C1)C(=O)NC2=CC=C(C3=CC=CC=C32)S(=O)(=O)NCC4=CC=NC=C4
CHEMBL1570845;ccr6_human;Human;Yes;1;Funct;4.74;4.74;4.74;p(-log);239;3;0;5;2.0;C1=CC(=CC=C1N2C(=O)C=CC2=O)OC(F)F
CHEMBL184185;cxcr2_human;Human;No;1;Funct;8.00;8.00;8.00;p(-log);385;3;4;3;2.9;C1=CC=C(C(=C1)NC(=O)NC2=C(C(=C(C=C2)Cl)C(=O)N)O)Br
CHEMBL184185;cxcr1_human;Human;No;1;Funct;5.22;5.22;5.22;p(-log);385;3;4;3;2.9;C1=CC=C(C(=C1)NC(=O)NC2=C(C(=C(C=C2)Cl)C(=O)N)O)Br
CHEMBL1681877;cxcr3_human;Human;No;1;Funct;6.85;6.85;6.85;p(-log);520;7;1;7;3.7;CNC(=O)C1=CC(=C(N=C1)N2CCN(C(C2)C(=O)OC)C3CCN(CC3)CC4=CC=C(C=C4)Cl)Cl
