5ht1d_rat,ackr3_human,ccr1_human,ccr1_mouse,ccr2_human,ccr2_mouse,ccr3_human,ccr3_mouse,ccr3_rat,ccr4_human,ccr5_human,ccr5_mouse,ccr6_human,ccr8_human,ccr9_human,ccrl2_human,cx3c1_human,cxcr1_human,cxcr2_human,cxcr3_human,cxcr3_mouse,cxcr3_rat,cxcr4_human,cxcr5_human,q9jly8_rat,ChEMBL_ID,Smiles
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL100336,C1CCC(CC1)CN2CC(C(C2)C3=CC=CC=C3)CN4CCC(CC4)(CCCC5=CC=C(C=C5)CC(=O)O)O
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL100596,C1CCC(CC1)C(C(=O)O)N2CC(C(C2)C3=CC=CC=C3)CN4CCC(CC4)(CCCC5=CC=CC=C5)O
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL100958,COC(=O)C(C1CCCCC1)N2CC(C(C2)C3=CC=CC=C3)CN4CCC(CC4)(CCCC5=CC=CC=C5)O
,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,CHEMBL10097,C1CN(CCC1C2(CCC(=O)NC2=O)C3=CC=CC=C3)CC4=CC=C(C=C4)Cl
,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,CHEMBL101165,CC1=CC(=NC=C1)C2=NC=CC(=C2)C
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL101333,C1CCC(CC1)C(C(=O)OCC2=CC=CC=C2)N3CC(C(C3)C4=CC=CC=C4)CN5CCC(CC5)(CCCC6=CC=CC=C6)O
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL101961,C1CN(CCC1(CCCC2=CC=CC=C2)O)CC3CN(CC3C4=CC=CC=C4)C(C5=CC=CC=C5)C(=O)O
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL102674,C1CN(CCC1(CCCC2=CC=CC=C2)O)CC3CN(CC3C4=CC=CC=C4)CC(=O)O
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL102675,CC(C(=O)O)N1CC(C(C1)C2=CC=CC=C2)CN3CCC(CC3)(CCCC4=CC=CC=C4)O
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL102826,C1CCC(CC1)C(C(=O)O)N2CC(C(C2)C3=CC=CC=C3)CN4CCC(CC4)CCCC5=CC=CC=C5
,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,CHEMBL10309,C1CN(CCC1C2(CCC(=O)NC2=O)C3=CC=CC=C3)CC4=CC=C(C=C4)Br
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL103268,C1CCC(CC1)CN2CC(C(C2)C3=CC=CC=C3)CN4CCC(CC4)(CCCC5=CC=CC=C5C(=O)O)O
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL103343,C1CCC(CC1)C(CO)N2CC(C(C2)C3=CC=CC=C3)CN4CCC(CC4)(CCCC5=CC=CC=C5)O
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL103782,C1CCC(CC1)C(C(=O)O)N2CC(C(C2)C3=CC=CC=C3)CN4CCC(CC4)C5=CC=C(C=C5)F
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL103790,C[N+]1=NC(=NN1)C2=CC=C(C=C2)CCCC3(CCN(CC3)CC4CN(CC4C5=CC=CC=C5)CC6CCCCC6)O
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL103813,C1CCC(CC1)C(CO)N2CC(C(C2)C3=CC=CC=C3)CN4CCC(CC4)(CCCC5=CC=CC=C5)O
,,,0.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,CHEMBL104,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL104464,C=CCN(C1CCN(CC1)CCC(CN2N=C(N=N2)C3=CC=CC=C3)C4=CC=CC=C4)C(=O)OCC5=CC=C(C=C5)[N+](=O)[O-]
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL104474,C=CCN(C1CCN(CC1)CCC(CN2C=NC3=CC=CC=C32)C4=CC=CC=C4)C(=O)OCC5=CC=CC=C5
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL104628,C1CN(CCC1CCCC2=CC=CC=C2)CC3CN(CC3C4=CC=CC=C4)S(=O)(=O)C5=CC=CS5
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL104698,CC(CCN1CCC(CC1)N(CC=C)C(=O)OCC2=CC=CC=C2)(CN3C(=O)C(NC3=O)CC4=CNC5=CC=CC=C54)C6=CC=CC=C6
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL104793,C=CCN(C1CCN(CC1)CCC(CN2C(=O)C(NC2=O)CC3=CNC4=CC=CC=C43)C5=CC=CC=C5)C(=O)OCC6=CC=CC=C6
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL104867,CC(CCN1CCC(CC1)N(CC=C)C(=O)OCC2=CC=CC=C2)(C3NC4=CC=CC=C4S(=O)(=O)N3)C5=CC=CC=C5
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL105109,C1CN(CCC1C2=CC=CC=C2)CCC(CN3C(=O)C(NC3=O)CC4=CC=CC=C4)C5=CC(=CC=C5)Cl
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL105460,C=CCN(C1CCN(CC1)CCC(CN2C(=NN=N2)C3=CC=CC=C3)C4=CC=CC=C4)C(=O)OCC5=CC=C(C=C5)[N+](=O)[O-]
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL105570,CC(CCN1CCC(CC1)N(CC=C)C(=O)OCC2=CC=C(C=C2)[N+](=O)[O-])(CN3C=NC4=CC=CC=C43)C5=CC=CC=C5
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL105572,C=CCN(C1CCN(CC1)CCC(CN2C=NC(=C2Cl)Cl)C3=CC=CC=C3)C(=O)OCC4=CC=C(C=C4)[N+](=O)[O-]
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL105606,C=CCN(C1CCN(CC1)CCC(CN2C=NC=N2)C3=CC=CC=C3)C(=O)OCC4=CC=C(C=C4)[N+](=O)[O-]
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL105659,CC(CCN1CCC(CC1)N(CC=C)C(=O)OCC2=CC=CC=C2)(CN3C=NC4=CC=CC=C43)C5=CC=CC=C5
,,0.0,,,,,,,0.0,,1.0,,,,,,,0.0,,,,,,,CHEMBL105779,CCOC(=O)CON=C(C1CCN(CC1)C2(CCN(CC2)C(=O)C3=C(C=CC=C3C)C)C)C4=CC=C(C=C4)Br
,,,0.0,,,0.0,,,,1.0,1.0,,,,,,0.0,0.0,,,,,,,CHEMBL105784,CC1(CCN(CC1)C(=O)C2=C(C=CC=C2Cl)N)N3CCC(CC3)C(=NOC)C4=CC=C(C=C4)Br
,,,,,,0.0,,,,1.0,1.0,,,,,,0.0,,,,,,,,CHEMBL105821,CCON=C(C1CCN(CC1)C2(CCN(CC2)C(=O)C3=C(C=CN=C3C)C)C)C4=CC=C(C=C4)Br
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL105975,CCN(C1CCN(CC1)CCC(CN2C(=O)C(NC2=O)CC3=CNC4=CC=CC=C43)C5=CC(=CC=C5)Cl)C(=O)OCC6=CC=CC=C6
,,,,,,,,,,1.0,,,,,,,,,,,,,,,CHEMBL105987,CN(CC(CCN1CCC(CC1)CCCC2=CC=CC=C2)C3=CC=CC=C3)S(=O)(=O)C4=CC=CS4
,,,,,,0.0,,,,1.0,1.0,,0.0,,,0.0,,0.0,,,,,,,CHEMBL106098,CC1=C(C(=[N+](C=C1)[O-])C)C(=O)N2CCC(CC2)(C)N3CCC(CC3)C(=NOC)C4=CC=C(C=C4)Br
,,,,,,0.0,,,0.0,,1.0,0.0,,,,0.0,,,,,,0.0,,,CHEMBL106099,CC1=C(C(=[N+](C=C1)[O-])C)C(=O)N2CCC(CC2)(C)N3CCC(CC3)C(=NOC)C4=CC=C(C=C4)Cl
